time,open,high,low,close,volume,adjusted close,open_y,high_y,low_y,close_y,volume_y
6/1/2021 05:00,179,179.1,178.46,178.92,9993,178.92,,,,,
6/1/2021 06:00,178.96,178.96,178.5,178.5,4000,178.5,,,,,
6/1/2021 07:00,178.57,178.57,178.52,178.52,902,178.52,,,,,
6/1/2021 08:00,178.44,178.73,178.33,178.73,20650,178.73,,,,,
6/1/2021 09:00,178.7296,179.02,178.65,178.86,41785,178.86,79.903215,79.97947672,79.903215,79.97947672,214
6/1/2021 10:00,178.85,179.05,178.12,178.25,1805691,178.25,80.07480387,81.03760806,79.97947672,80.03190665,1129479
6/1/2021 11:00,178.25,178.75,177.19,177.445,2060959,177.445,80.0271403,80.03667301,79.39798112,79.43611198,689178
6/1/2021 12:00,177.45,177.91,177.33,177.91,1278805,177.91,79.42657927,79.4456447,79.15013054,79.15022587,382075
6/1/2021 13:00,177.89,178.27,177.86,178.22,1014640,178.22,79.15013054,79.24545769,78.74499016,78.74975652,395543
6/1/2021 14:00,178.215,178.26,178.08,178.2199,792643,178.2199,78.74985185,78.81648552,78.53050408,78.61629851,398152
6/1/2021 15:00,178.21,178.255,177.97,177.9801,548001,177.9801,78.61629851,78.7335509,78.49713958,78.50362183,539564
6/1/2021 16:00,177.99,177.99,177.81,177.93,1215759,177.93,78.51143865,78.64489666,78.2826535,78.62583123,1419618
6/1/2021 17:00,177.91,177.93,177.84,177.92,26796,177.92,78.62583123,78.77835466,78.62583123,78.77835466,109780
6/1/2021 18:00,177.89,178.2,177.89,178,4671,178,,,,,
6/1/2021 19:00,178,178,177.76,177.82,1866,177.82,78.45424236,78.45424236,78.45424236,78.45424236,327
6/1/2021 20:00,177.84,177.84,177.75,177.75,621,177.75,,,,,
6/2/2021 05:00,177.88,177.88,177.55,177.55,2837,177.55,,,,,
6/2/2021 06:00,177.57,177.61,177.47,177.47,11224,177.47,,,,,
6/2/2021 07:00,177.6,177.65,177.51,177.51,1800,177.51,,,,,
6/2/2021 08:00,177.54,178,177.46,178,12078,178,,,,,
6/2/2021 09:00,177.55,178.53,177.55,178.17,27463,178.17,,,,,
6/2/2021 10:00,178.42,178.74,178.18,178.2,714223,178.2,78.62583123,79.1215324,78.62583123,79.03573796,321784
6/2/2021 11:00,178.21,178.455,177.97,178.04,773184,178.04,79.04050432,79.09293425,78.82601824,79.08340154,362921
6/2/2021 12:00,178.06,178.51,178.005,178.435,1034349,178.435,79.07386882,79.23592497,79.05480339,79.15966325,399821
6/2/2021 13:00,178.44,178.55,178.42,178.5,1089377,178.5,79.16919597,79.38368205,79.15966325,79.27405583,294547
6/2/2021 14:00,178.52,178.62,178.42,178.5599,529299,178.5599,79.27882219,79.33601848,79.21685954,79.24069133,283886
6/2/2021 15:00,178.555,178.685,178.55,178.64,407160,178.64,79.24069133,79.24545769,78.92134539,78.92611174,271202
6/2/2021 16:00,178.64,178.78,178.58,178.78,1530534,178.78,78.92611174,79.06910246,78.90704631,79.00713982,806531
6/2/2021 17:00,178.77,178.77,178.67,178.71,45148,178.71,79.00713982,79.00713982,78.38751336,78.72115838,277634
6/2/2021 18:00,178.66,178.66,178.66,178.66,200,178.66,,,,,
6/2/2021 19:00,178.7,178.7,178.7,178.7,100,178.7,,,,,
6/2/2021 20:00,178.74,178.78,178.62,178.66,5645,178.66,,,,,
6/3/2021 05:00,178.19,178.19,177.23,177.3,1788,177.3,,,,,
6/3/2021 06:00,177.32,177.38,177.21,177.28,2287,177.28,,,,,
6/3/2021 07:00,177.34,177.65,177.33,177.37,6650,177.37,,,,,
6/3/2021 08:00,177.33,177.5,177.15,177.22,25484,177.22,,,,,
